id,gesture,dist,shading,y,cond,comicleft
1,1,1,2,-2,1,1
1,2,1,0,-2,1,1
1,2,2,1,-2,1,1
1,0,0,0,-2,1,1
1,1,0,1,-1,1,1
2,2,0,1,-1,1,1
2,2,1,1,-2,1,1
2,0,2,0,3,1,1
2,1,0,0,3,1,1
2,1,1,1,3,1,1
3,1,1,0,2,1,1
3,2,1,0,1,1,1
3,2,2,1,3,1,1
3,0,0,0,1,1,1
3,0,0,2,-1,1,1
4,1,0,1,2,1,1
4,2,2,0,3,1,1
4,0,2,0,-2,1,1
4,1,0,0,3,1,1
4,1,1,1,3,1,1
5,1,2,1,3,1,1
5,2,1,0,3,1,1
5,0,1,0,-2,1,1
5,0,1,1,-2,1,1
5,0,2,1,-2,1,1
6,0,2,2,-2,1,1
6,1,2,0,-2,1,1
6,0,2,2,1,1,1
6,1,0,1,2,1,1
6,2,0,0,-2,1,1
7,2,0,2,2,1,1
7,2,1,2,2,1,1
7,0,0,0,-3,1,1
7,1,1,0,-3,1,1
7,1,1,2,-3,1,1
8,1,2,1,-2,1,1
8,2,0,1,0,1,1
8,0,1,0,-1,1,1
8,0,1,1,0,1,1
8,1,0,0,-2,1,1
9,1,1,1,-1,1,1
9,2,0,0,-1,1,1
9,0,0,2,-2,1,1
9,1,0,2,-1,1,1
9,1,1,1,-1,1,1
10,2,2,2,-3,1,1
10,0,0,0,-1,1,1
10,1,2,1,-1,1,1
10,2,0,0,0,1,1
10,2,0,2,0,1,1
11,2,1,0,-1,1,1
11,0,1,2,-1,1,1
11,0,2,0,-1,1,1
11,1,0,0,-2,1,1
11,1,2,0,-2,1,1
12,2,0,0,2,1,1
12,0,1,1,2,1,1
12,1,0,2,-2,1,1
12,2,0,1,-1,1,1
12,2,2,0,2,1,1
13,0,2,2,0,1,1
13,1,1,2,2,1,1
13,1,2,1,0,1,1
13,2,1,0,0,1,1
13,2,2,1,0,1,1
14,0,0,2,1,1,1
14,0,2,1,1,1,1
14,1,1,0,1,1,1
14,2,0,2,1,1,1
14,2,2,1,1,1,1
15,0,1,0,-1,1,1
15,1,2,0,-1,1,1
15,2,0,0,0,1,1
15,2,1,1,0,1,1
15,0,1,0,1,1,1
16,0,1,1,0,1,1
16,2,0,0,0,1,1
16,2,0,1,0,1,1
16,2,1,2,-1,1,1
16,0,0,0,-2,1,1
17,0,1,1,-2,1,1
17,0,2,0,1,1,1
17,1,0,2,1,1,1
17,1,2,2,1,1,1
17,0,1,2,1,1,1
18,0,2,1,1,1,1
18,0,2,2,1,1,1
18,1,0,0,-1,1,1
