ID,color,color_position,cond,y
1,1,0,1,-2
2,1,0,1,0
3,1,0,1,-2
4,1,0,1,0
5,1,0,1,0
6,1,0,1,-1
7,1,0,1,0
8,1,0,1,0
9,1,0,1,1
10,1,0,1,-2
11,1,0,1,-1
12,1,0,1,0
13,1,0,1,3
14,1,0,1,0
15,1,0,1,2
16,1,0,1,0
17,0,0,1,2
18,0,0,1,1
19,0,0,1,0
20,0,0,1,-1
21,0,0,1,0
22,0,0,1,1
23,0,0,1,2
24,0,0,1,1
25,0,0,1,1
26,0,0,1,2
27,0,0,1,2
28,0,0,1,2
1,0,1,1,1
2,0,1,1,2
3,0,1,1,2
4,0,1,1,0
5,0,1,1,-1
6,0,1,1,2
7,0,1,1,2
8,0,1,1,0
9,0,1,1,-1
10,0,1,1,-1
11,0,1,1,0
12,0,1,1,1
13,0,1,1,-3
14,0,1,1,-2
15,0,1,1,-2
16,0,1,1,-2
17,0,1,1,1
18,1,1,1,2
19,1,1,1,3
20,1,1,1,0
21,1,1,1,1
22,1,1,1,2
23,1,1,1,0
24,1,1,1,-2
25,1,1,1,1
26,1,1,1,2
27,1,1,1,3
28,1,1,1,2
1,0,2,1,2
2,0,2,1,1
3,0,2,1,1
4,0,2,1,0
5,0,2,1,3
6,0,2,1,-1
7,0,2,1,2
8,0,2,1,1
9,0,2,1,0
10,0,2,1,-2
11,0,2,1,1
12,1,2,1,2
13,1,2,1,2
14,1,2,1,-2
15,1,2,1,0
16,1,2,1,0
17,1,2,1,-1
18,1,2,1,0
19,1,2,1,-1
20,1,2,1,-1
21,1,2,1,0
22,1,2,1,0
23,1,2,1,3
24,1,2,1,2
25,1,2,1,2
26,1,2,1,0
27,1,2,1,2
28,1,2,1,1
29,1,0,0,3
30,1,0,0,1
31,1,0,0,2
32,1,0,0,0
33,1,0,0,0
34,1,0,0,-2
35,1,0,0,-2
36,1,0,0,3
37,1,0,0,0
38,1,0,0,0
39,1,0,0,0
40,1,0,0,3
41,1,0,0,0
42,1,0,0,2
43,1,0,0,1
44,1,0,0,2
45,1,0,0,3
46,1,0,0,2
47,1,0,0,0
48,1,0,0,0
49,0,0,0,-2
50,0,0,0,-2
51,0,0,0,0
52,0,0,0,-2
53,0,0,0,2
54,0,0,0,-2
55,0,0,0,-2
56,0,0,0,1
57,0,0,0,2
58,0,0,0,-2
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,-1
63,0,0,0,-2
29,1,1,0,-1
30,1,1,0,2
31,1,1,0,-3
32,1,1,0,2
33,1,1,0,1
34,1,1,0,0
35,1,1,0,1
36,1,1,0,3
37,1,1,0,1
38,1,1,0,0
39,1,1,0,-2
40,1,1,0,1
41,1,1,0,2
42,1,1,0,0
43,1,1,0,0
44,1,1,0,-2
45,0,1,0,-1
46,0,1,0,2
47,0,1,0,-2
48,0,1,0,-1
49,0,1,0,1
50,0,1,0,-1
51,0,1,0,-1
52,0,1,0,-3
53,0,1,0,0
54,0,1,0,2
55,0,1,0,0
56,0,1,0,1
57,0,1,0,-2
58,0,1,0,-2
59,0,1,0,2
60,0,1,0,0
61,0,1,0,-1
62,0,1,0,0
63,0,1,0,-1
29,1,2,0,-3
30,1,2,0,0
31,1,2,0,1
32,1,2,0,0
33,1,2,0,2
34,1,2,0,0
35,1,2,0,0
36,1,2,0,1
37,1,2,0,2
38,1,2,0,2
39,1,2,0,0
40,1,2,0,1
41,1,2,0,0
42,1,2,0,-2
43,0,2,0,2
44,0,2,0,2
45,0,2,0,0
46,0,2,0,3
47,0,2,0,0
48,0,2,0,1
49,0,2,0,-3
50,0,2,0,0
51,0,2,0,-2
52,0,2,0,-1
53,0,2,0,0
54,0,2,0,0
55,0,2,0,1
56,0,2,0,0
57,0,2,0,-2
58,0,2,0,1
59,0,2,0,2
60,0,2,0,2
61,0,2,0,0
62,0,2,0,0
63,0,2,0,-1
