ID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q24,Q12,Q20,Q21_1,Q19_1,Q7,Q8,Q9,Q16
0,1,1,1,1,4,3,2,3,2,4,3,4,2,1,3,2,1,6,2,7,6,4,2,3,1,this video is very informative about Run for Autism race. The organisation for autism research is a great job by organizing this kind of events.,2,,4,1,5,4,230924
1,1,1,1,2,4,3,4,4,3,4,3,6,2,3,4,3,6,1,6,3,4,2,3,4,1,A promotional video for the Run for Autism charity.,4,2,,1,4,4,791658
2,1,1,1,1,6,2,1,2,2,4,2,3,4,2,2,1,4,4,2,2,4,1,3,4,1,THE VIDEO WAS ABOUT PEOPLE WHO RAISE MONEY FOR AUTISM RESEARCH BY RUNNING.,3,1.5,,2,2,2,323786
3,1,1,1,1,3,2,3,3,2,3,2,3,3,2,3,3,2,2,3,3,2,3,3,2,1,This video is very interest and excited.this video is marathon then number of people participant in the race.,2,,4,2,2,3,
4,1,1,1,1,2,4,1,1,3,4,2,4,7,2,3,1,2,4,2,5,4,3,4,5,1,These is really for good cause. Many are suffered but that we can be change this.,1,3,,1,12,4,933753
5,1,1,1,1,3,3,1,4,2,3,2,1,1,4,4,4,7,1,5,2,4,1,1,6,1,It was about why people run for autism research. Most of them who do it have a family member with autism.,5,,2.5,2,4,2,789797
6,1,1,1,1,3,4,2,2,2,7,3,6,5,2,2,2,5,3,2,1,5,3,5,2,1,The video promotes Run for Autism race. This race is conducted from 2003 and is more popular among runners. The Organization for Autism Research raises funds thru this race.,2,,4,1,2,3,448941
7,1,1,1,1,5,3,5,6,5,4,4,6,6,5,6,5,6,5,5,6,5,3,5,3,1,run for autism it must be treated in the right way join the team,2,,5,1,2,3,425524
8,1,2,1,2,3,3,2,2,2,7,3,4,6,2,2,3,5,2,2,3,6,3,2,2,1,It makes me encourage to donate in charity organization.,1,,5,1,2,3,259240
9,1,1,1,2,3,3,6,6,6,2,2,6,4,2,2,2,6,4,2,2,6,2,6,2,1,THE VIDEO SHOWED PEOPLE WHO SUPPORT AUTISM BY A RACE. THE PEOPLE WHO RACE TOLD WHY THEY RACE AND HOW IT MAKES THEM FEE. ,5,1,,2,6,3,896828
10,1,1,1,2,3,3,3,4,4,5,4,4,4,3,3,3,3,2,4,4,3,2,2,4,1,encouragement of the autism children,3,,2.5,2,1,4,504676
11,1,1,2,1,6,6,2,2,3,6,2,6,6,2,2,2,5,2,2,2,2,2,3,3,1,People describing their experience with autistic loved ones,1,2.5,,2,12,3,910316
12,1,1,1,1,3,3,1,1,1,1,3,5,5,2,2,2,2,2,2,2,5,6,6,2,1,AUTISM CHARITABLE RUN TO MAKE AWARENESS AND FUND MAKING RUN,2,1,,1,4,3,612334
13,1,1,2,2,4,3,2,1,2,1,2,4,2,2,4,2,4,3,2,4,4,2,3,4,1,Parents were joined in Autism reasearch due to their son/daughter/brothers were affected by Autism so they wants to particiapate in Marathon and rasing funds were given to Autism organization.,3,,5,1,1,3,12577
14,1,1,2,1,3,2,2,2,3,1,4,4,6,3,4,3,5,3,1,3,2,3,3,2,1,Everyone should raise some money for autism people and charities,3,4.5,,1,1,3,231249
15,1,1,1,2,3,2,1,7,6,1,3,2,4,6,7,1,2,2,5,1,2,1,3,5,1,"It was about a marathon for people who have children with autism. The charitable organization was started in 2003 and has had more than 7,500 runners and raised more than 7.5 million dollars for autism research. Some people feel satisfied and complete when they participate and win in the event while others do it for the sake of their children, to get help for them.",2,3,,2,11,4,73708
16,1,1,1,1,3,4,3,4,4,3,3,4,3,2,4,3,3,3,3,2,3,2,2,2,1,This video is  MARATHON.more than  people participant so i'm enjoy the video.,2,4,,1,2,3,A3C3RLZKKHH1FC
17,1,1,1,2,4,4,3,3,3,4,3,3,4,3,4,3,4,4,3,3,5,3,4,4,1,RUN FOR AUTISM is a successful way in which fundraising initiative for the Organization for Autism Research.,2,2.5,,1,4,2,848196
18,1,1,2,1,7,4,1,2,2,7,3,7,6,2,1,3,7,6,1,1,6,1,7,1,1,"This video promoted the charity run promoted by OAR, the video also had mini interviews of people who participated in the run. People had participated in runs for 10-15 years.",1,,2.5,1,6,4,174418
19,1,1,2,1,3,2,2,2,1,6,3,3,5,1,1,1,4,5,1,4,4,3,3,4,1,every one have autism patient in the video and they have benefited by organisation  ,1,,5,1,5,4,613451
20,1,1,1,1,2,1,2,2,1,1,2,3,2,2,3,2,2,2,1,2,2,3,1,2,1,The video says about the autism syndrome charity and about the fund raised through the marathon and they said to participate on the marathon,1,2.5,,1,10,3,780108
21,1,2,1,1,2,1,2,3,2,1,1,2,1,1,2,1,2,2,1,2,2,1,2,3,1,I HAVE A IMPRESSED WITH THE COMMITMENT WITH  Organization TO SECURE FUNDED FOR THE Autism Research.,1,2.5,,1,8,3,269121
22,1,1,2,2,4,5,6,7,6,4,2,4,7,1,4,3,3,4,2,2,4,4,5,4,1,run for Autism is really good. After watching the video i feel to join the OAR ,1,,4.5,1,4,3,821083
23,1,1,1,2,4,3,6,4,3,5,2,5,5,3,5,5,3,3,3,3,2,2,4,3,1,People were talking about running and actually running the marathon for Autism and research for Autism and people with it. ,4,,5,2,2,2,454972
