item,p1,p2,p3,p4,p5,n1,n2,n3,n4,n5
000,1,0,1,0,0,0,1,1,0,0
001,1,1,1,0,0,1,0,0,0,1
002,1,0,0,1,0,1,0,0,0,1
010,0,1,1,0,1,0,1,0,1,0
011,1,1,1,0,0,0,0,0,0,0
012,0,1,0,0,1,1,1,0,1,1
020,1,0,0,1,0,0,1,1,0,1
021,0,1,0,1,0,1,1,1,0,1
022,1,0,0,1,1,1,0,1,1,1
100,0,1,1,0,1,1,0,1,0,0
101,1,1,1,1,0,0,0,1,0,1
102,0,0,1,0,1,1,1,0,0,1
110,0,0,0,1,1,0,0,0,0,0
111,1,1,1,1,0,0,1,1,1,0
112,0,0,1,1,1,1,1,1,0,1
120,0,0,1,1,0,1,1,1,1,1
121,1,1,0,1,0,0,1,1,1,1
122,0,0,1,1,0,0,1,0,0,1
200,1,1,1,1,1,0,1,0,1,0
201,0,0,0,1,0,1,1,1,1,0
202,1,0,1,1,0,0,1,1,0,1
210,1,1,1,1,1,0,1,0,0,1
211,0,0,0,1,0,1,0,1,0,0
212,1,0,1,1,0,0,0,0,0,0
220,1,0,1,1,0,1,0,1,0,1
221,0,0,0,0,0,1,1,0,1,0
222,1,0,1,1,1,0,0,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
